LoanRange,BusinessName,Address,City,State,Zip,BusinessType,JobsRetained,DateApproved,Lender
a $5-10 million,BETTER BUSINESS SYSTEMS INC,175 North 27th Street Suite 800,BILLINGS,MT,59101,Corporation,348,04/14/2020,Stearns Bank National Association
a $5-10 million,COMMUNITY HOSPITAL OF ANACONDA,401 W PENNSYLVANIA AVE,ANACONDA,MT,59711,Non-Profit Organization,400,04/03/2020,Glacier Bank
a $5-10 million,"CONSUMER DIRECT HOLDINGS, INC.",100 Consumer Direct Way,MISSOULA,MT,59808,Corporation,500,04/04/2020,Bank of Montana
a $5-10 million,CTA ARCHITECTS ENGINEERS,13 N 23RD ST,BILLINGS,MT,59101,Corporation,423,04/03/2020,Stockman Bank of Montana
a $5-10 million,MORRISON-MAIERLE INC,1 Engineering Place,HELENA,MT,59602,Corporation,269,04/13/2020,First Interstate Bank
a $5-10 million,RICHARD G ANDERSON,3424 US HWY 12E,HELENA,MT,59601,Sole Proprietorship,354,04/07/2020,First Interstate Bank
a $5-10 million,SIDNEY HEALTH CENTER,216 14TH AVE SW,SIDNEY,MT,59270,Non-Profit Organization,383,04/27/2020,Stockman Bank of Montana
a $5-10 million,WESTERN MONTANA MENTAL HEALTH CENTER,1321 WYOMING ST,MISSOULA,MT,59801,Non-Profit Organization,250,04/04/2020,Glacier Bank
a $5-10 million,ZOOT ENTERPRISES INC,555 Zoot Enterprises Ln,BOZEMAN,MT,59718,Corporation,278,04/03/2020,Stockman Bank of Montana
b $2-5 million,3 RIVERS TELEPHONE COOPERATIVE INC,202 5TH ST S,FAIRFIELD,MT,59436,Non-Profit Organization,135,04/04/2020,Glacier Bank
b $2-5 million,"A.W.A.R.E., INC.",205 E Park Ave,ANACONDA,MT,59711,Non-Profit Organization,500,04/27/2020,Opportunity Bank of Montana
b $2-5 million,ADF INTERNATIONAL INC.,1900 Great Bear Ave.,GREAT FALLS,MT,59401,Corporation,199,04/29/2020,"U.S. Bank, National Association"
b $2-5 million,"ALAMON, INC.",315 West Idaho Street,KALISPELL,MT,59901,Employee Stock Ownership Plan(ESOP),208,04/04/2020,Three Rivers Bank of Montana
b $2-5 million,ANDERSON ZURMUEHLEN & CO. P.C.,828 Great Northern Blvd,HELENA,MT,59624,Corporation,206,04/10/2020,First Interstate Bank
b $2-5 million,AUTOMOTIVE & INDUSTRIAL DISTRIBUTORS OF BILLINGS,900 1st Ave North,BILLINGS,MT,59101,Corporation,225,04/03/2020,Stockman Bank of Montana
b $2-5 million,BARRETT HOSPITAL DEVELOPMENT CORPORATION,600 MT Highway 91 S,DILLON,MT,59725,Non-Profit Organization,250,04/03/2020,Stockman Bank of Montana
b $2-5 million,"BRIDGER STEEL, INC.",1558 Amsterdam Rd.,BELGRADE,MT,59714,Corporation,121,04/03/2020,The Yellowstone Bank
b $2-5 million,CARROLL COLLEGE,1601 N. Benton Ave.,HELENA,MT,59625,Non-Profit Organization,306,04/27/2020,First Interstate Bank
b $2-5 million,"CENNOX, INC.",3010 Santa Fe Court,MISSOULA,MT,59806,Corporation,335,04/10/2020,Glacier Bank
b $2-5 million,"CENTRAL MONTANA MEDICAL FACILITIES, INC.",408 WENDELL AVE,LEWISTOWN,MT,59457,Non-Profit Organization,0,04/04/2020,Glacier Bank
b $2-5 million,"CENTRAL PLUMBING & HEATING, INC",3701 River Drive North,GREAT FALLS,MT,59405,Corporation,141,04/09/2020,First Interstate Bank
b $2-5 million,CENTURY COMPANIES INC,510 1ST AVE N,LEWISTOWN,MT,59457,Corporation,151,04/03/2020,Glacier Bank
b $2-5 million,"CITYSERVICEVALCON, LLC",640 West Montana St,KALISPELL,MT,59901,Limited  Liability Company(LLC),164,04/07/2020,Glacier Bank
b $2-5 million,"COMMUNITY, COUNSELING, AND CORRECTIONAL SERVICES, INC.",471 East Mercury Street,BUTTE,MT,59701,Non-Profit Organization,485,04/03/2020,Glacier Bank
b $2-5 million,COP CONSTRUCTION LLC,242 South 64th Street,BILLINGS,MT,59106,Limited Liability Partnership,166,04/08/2020,First Interstate Bank
b $2-5 million,CROWLEY FLECK PLLP,490 N 31st St Suite 500,BILLINGS,MT,59101,Limited Liability Partnership,54,04/03/2020,Stockman Bank of Montana
b $2-5 million,"DIVERSIFIED TRANSFER & STORAGE, INC.",1640 MONAD RD,BILLINGS,MT,59101,Subchapter S Corporation,269,04/11/2020,The Yellowstone Bank
b $2-5 million,"FIRSTMARK CONSTRUCTION, LLC",6611 Trade Center Avenue,BILLINGS,MT,59101,Limited  Liability Company(LLC),265,04/10/2020,First Interstate Bank
b $2-5 million,FORT BELKNAP PLANNING AND DEVELOPMENT CORPORATION,353 Old Hays Road,HAYS,MT,59527,Corporation,214,04/10/2020,First United Bank and Trust Company
b $2-5 million,FRANCES MAHON DEACONESS,621 3RD ST S,GLASGOW,MT,59230,Corporation,268,04/08/2020,First Community Bank
b $2-5 million,FRONTIER CHEVROLET,3000 King Ave West,BILLINGS,MT,59102,Corporation,168,04/03/2020,Stockman Bank of Montana
